transaction_id,card_number,timestamp,merchant,location,amount,is_fraud
1,4290459423614700,2026-02-01 03:16:45,Amazon,CA,295.21,0
2,4385390363640962,2026-02-01 03:06:45,GasStation,FL,1163.87,0
3,4870451735378368,2026-02-03 20:20:45,Amazon,CA,1299.58,0
4,4444133595602826,2026-01-19 22:56:45,Target,FL,229.39,0
5,4569430417482476,2026-02-04 16:54:45,Amazon,NJ,68.44,0
6,4544202067320609,2026-01-09 00:51:45,GasStation,CA,986.08,0
7,4264564637938978,2026-02-01 13:12:45,Amazon,TX,483.02,0
8,4915020059673009,2026-01-23 03:27:45,Target,NJ,1018.01,0
9,4015328021533530,2026-01-20 21:04:45,Target,FL,990.8,0
10,4062099469170342,2026-01-18 10:50:45,Target,NY,697.38,0
11,4795044358485723,2026-01-11 10:34:45,Amazon,NY,1404.87,0
12,4985447829985826,2026-01-22 19:39:45,BestBuy,NY,155.44,0
13,4758599426511750,2026-02-04 15:50:45,Walmart,FL,758.75,0
14,4840380507438300,2026-01-13 12:47:45,GasStation,NJ,1801.95,1
15,4664820632862470,2026-01-21 21:12:45,BestBuy,CA,342.32,0
16,4489273813284492,2026-01-25 12:33:45,Target,NY,736.03,0
17,4015784960939484,2026-01-21 23:33:45,Amazon,NY,1753.46,1
18,4581850511743281,2026-01-31 09:07:45,GasStation,NY,843.35,0
19,4030666048260298,2026-02-02 21:38:45,Target,FL,1749.44,1
20,4672647920755552,2026-02-03 14:15:45,BestBuy,NY,329.42,0
21,4368302027230379,2026-01-17 06:51:45,Walmart,NY,172.16,0
22,4672209324416953,2026-01-22 20:15:45,Walmart,NJ,710.41,0
23,4220458032442112,2026-02-06 04:28:45,Walmart,FL,738.58,0
24,4775007163815454,2026-01-17 14:30:45,GasStation,CA,963.19,0
25,4246728997588058,2026-01-21 19:36:45,Target,NY,1002.3,0
26,4480643990973542,2026-01-31 14:28:45,Amazon,NJ,645.31,0
27,4810654245651642,2026-01-25 08:31:45,Walmart,TX,356.96,0
28,4510390275196105,2026-02-04 00:39:45,GasStation,FL,912.17,0
29,4554566318585584,2026-01-30 07:57:45,Walmart,FL,945.33,0
30,4505187068874088,2026-02-05 19:27:45,Target,FL,1517.75,1
31,4204540918892923,2026-02-01 03:26:45,GasStation,FL,1158.48,0
32,4887529013088208,2026-01-30 10:15:45,Amazon,NY,371.69,0
33,4161414676388380,2026-01-13 13:35:45,BestBuy,NY,1319.72,0
34,4497710530477351,2026-02-01 19:01:45,Amazon,NJ,1870.77,1
35,4795818297743499,2026-01-30 08:51:45,GasStation,TX,564.07,0
36,4764497595400479,2026-02-07 01:26:45,GasStation,CA,1286.4,0
37,4718658953959005,2026-01-20 15:57:45,BestBuy,NY,128.23,0
38,4251783171977435,2026-01-13 08:16:45,BestBuy,FL,1497.68,0
39,4456967632360795,2026-01-08 21:11:45,Target,FL,1293.56,0
40,4623533825142657,2026-01-17 07:59:45,GasStation,FL,1930.88,1
41,4027056481162653,2026-02-04 05:16:45,GasStation,NJ,15.42,0
42,4503911698109583,2026-01-13 12:19:45,Target,NY,1308.24,0
43,4607015256404901,2026-02-06 17:03:45,BestBuy,FL,891.27,0
44,4271055258174610,2026-01-22 00:04:45,BestBuy,TX,974.05,0
45,4750450906759063,2026-01-13 10:22:45,GasStation,TX,659.08,0
46,4811669121335852,2026-01-28 03:54:45,Amazon,FL,994.87,0
47,4372560012023076,2026-02-05 05:51:45,Walmart,TX,1837.79,1
48,4685827093659615,2026-01-22 20:35:45,Target,CA,334.96,0
49,4217896756665414,2026-01-12 02:39:45,Walmart,CA,649.44,0
50,4054519958175023,2026-01-22 10:08:45,Amazon,NY,1822.97,1
51,4727424289277484,2026-01-13 07:44:45,Amazon,NY,977.76,0
52,4645514126599843,2026-01-12 13:27:45,Walmart,NJ,1197.78,0
53,4091882911950447,2026-01-13 07:42:45,BestBuy,TX,1121.05,0
54,4625290478411567,2026-02-03 06:04:45,Amazon,NJ,1755.59,1
55,4082566476421763,2026-01-14 03:07:45,Target,TX,352.66,0
56,4321164193449159,2026-01-25 22:21:45,GasStation,NJ,1158.3,0
57,4866566136805560,2026-01-23 18:16:45,Amazon,FL,997.22,0
58,4509584748735058,2026-01-31 11:18:45,BestBuy,CA,263.47,0
59,4685865876607290,2026-01-31 04:02:45,BestBuy,CA,1775.44,1
60,4925094121105166,2026-01-30 03:57:45,Amazon,TX,1151.58,0
61,4169816886821695,2026-02-02 02:21:45,Target,NY,1774.66,1
62,4401271759182008,2026-01-23 17:44:45,Walmart,CA,561.93,0
63,4702350965519505,2026-01-24 08:30:45,Target,FL,1668.55,1
64,4086626529628821,2026-01-29 14:34:45,Amazon,NY,56.19,0
65,4208667125647742,2026-01-12 12:02:45,Walmart,CA,1296.65,0
66,4185598822584966,2026-01-27 22:42:45,BestBuy,NY,1767.2,1
67,4785051654686692,2026-02-03 01:52:45,GasStation,FL,1195.37,0
68,4690479000782090,2026-02-04 20:07:45,Amazon,TX,1585.0,1
69,4061035312690205,2026-01-10 10:45:45,Amazon,NJ,1135.66,0
70,4495528983888689,2026-01-29 11:36:45,Amazon,NY,1458.87,0
