transaction_id,card_number,fraud_type,reason
7,4074808105026642,over_limit,Charge 744.86 significantly exceeds grocery limit
34,4435803369409541,drainer,Burst charge 1 of 7 (Velocity)
35,4435803369409541,drainer,Burst charge 2 of 7 (Velocity)
36,4435803369409541,drainer,Burst charge 3 of 7 (Velocity)
37,4435803369409541,drainer,Burst charge 4 of 7 (Velocity)
38,4435803369409541,drainer,Burst charge 5 of 7 (Velocity)
39,4435803369409541,drainer,Burst charge 6 of 7 (Velocity)
40,4435803369409541,drainer,Burst charge 7 of 7 (Velocity)
90,4399568464638894,test_charge,Probing charge 1 of 3
91,4399568464638894,test_charge,Probing charge 2 of 3
92,4399568464638894,test_charge,Probing charge 3 of 3
93,4399568464638894,test_charge,Main hit after probing IDs: [90, 91, 92]
139,4259968397072414,repeat_tx,Duplicate amount 97.72 (Repeat 1)
140,4259968397072414,repeat_tx,Duplicate amount 97.72 (Repeat 2)
141,4259968397072414,repeat_tx,Duplicate amount 97.72 (Repeat 3)
207,4003284019973114,repeat_tx,Duplicate amount 63.16 (Repeat 1)
208,4003284019973114,repeat_tx,Duplicate amount 63.16 (Repeat 2)
209,4003284019973114,repeat_tx,Duplicate amount 63.16 (Repeat 3)
210,4225047887565200,over_limit,Charge 104.71 significantly exceeds subscription limit
214,4872450182259145,drainer,Burst charge 1 of 3 (Velocity)
215,4872450182259145,drainer,Burst charge 2 of 3 (Velocity)
216,4872450182259145,drainer,Burst charge 3 of 3 (Velocity)
271,4458846862094250,location_jump,Jump to OR shortly after ID:270
284,4420891116511676,repeat_tx,Duplicate amount 45.98 (Repeat 1)
285,4420891116511676,repeat_tx,Duplicate amount 45.98 (Repeat 2)
286,4420891116511676,repeat_tx,Duplicate amount 45.98 (Repeat 3)
287,4420891116511676,repeat_tx,Duplicate amount 45.98 (Repeat 4)
310,4053745002810452,midnight_surge,Anomalous night activity at 2 AM (Tx 1)
311,4053745002810452,midnight_surge,Anomalous night activity at 2 AM (Tx 2)
324,4516577509794967,midnight_surge,Anomalous night activity at 3 AM (Tx 1)
340,4632310565044009,over_limit,Charge 391.22 significantly exceeds gas limit
350,4633991532191477,test_charge,Probing charge 1 of 2
351,4633991532191477,test_charge,Probing charge 2 of 2
352,4633991532191477,test_charge,Main hit after probing IDs: [350, 351]
380,4065041381616761,location_jump,Jump to OH shortly after ID:379
396,4078807628829367,over_limit,Charge 282.07 significantly exceeds food limit
415,4776858640647736,drainer,Burst charge 1 of 8 (Velocity)
416,4776858640647736,drainer,Burst charge 2 of 8 (Velocity)
417,4776858640647736,drainer,Burst charge 3 of 8 (Velocity)
418,4776858640647736,drainer,Burst charge 4 of 8 (Velocity)
419,4776858640647736,drainer,Burst charge 5 of 8 (Velocity)
420,4776858640647736,drainer,Burst charge 6 of 8 (Velocity)
421,4776858640647736,drainer,Burst charge 7 of 8 (Velocity)
422,4776858640647736,drainer,Burst charge 8 of 8 (Velocity)
499,4456616339437437,repeat_tx,Duplicate amount 78.25 (Repeat 1)
500,4456616339437437,repeat_tx,Duplicate amount 78.25 (Repeat 2)
513,4195696552295108,midnight_surge,Anomalous night activity at 1 AM (Tx 1)
514,4195696552295108,midnight_surge,Anomalous night activity at 1 AM (Tx 2)
515,4195696552295108,midnight_surge,Anomalous night activity at 1 AM (Tx 3)
560,4759752182960669,midnight_surge,Anomalous night activity at 2 AM (Tx 1)
