Likely Fraud Transactions:

Transaction ID: 50 | Card: 4650497598445519 | Amount: $1580.88 | Location: FL | Fraud Probability: 50.0%
Transaction ID: 51 | Card: 4650497598445519 | Amount: $1937.06 | Location: FL | Fraud Probability: 80.0%
Transaction ID: 52 | Card: 4650497598445519 | Amount: $1848.51 | Location: FL | Fraud Probability: 80.0%
Transaction ID: 53 | Card: 4650497598445519 | Amount: $1626.75 | Location: FL | Fraud Probability: 50.0%
Transaction ID: 49 | Card: 4650497598445519 | Amount: $880.12 | Location: FL | Fraud Probability: 50.0%
Transaction ID: 149 | Card: 4306046028311885 | Amount: $1976.34 | Location: TX | Fraud Probability: 80.0%
Transaction ID: 150 | Card: 4306046028311885 | Amount: $1631.69 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 151 | Card: 4306046028311885 | Amount: $1574.38 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 152 | Card: 4306046028311885 | Amount: $1613.59 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 148 | Card: 4306046028311885 | Amount: $913.60 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 214 | Card: 4280623610958525 | Amount: $1540.87 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 215 | Card: 4280623610958525 | Amount: $1966.84 | Location: NY | Fraud Probability: 80.0%
Transaction ID: 216 | Card: 4280623610958525 | Amount: $1646.16 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 217 | Card: 4280623610958525 | Amount: $1799.57 | Location: NY | Fraud Probability: 80.0%
Transaction ID: 213 | Card: 4280623610958525 | Amount: $1999.68 | Location: NY | Fraud Probability: 80.0%
Transaction ID: 294 | Card: 4189178357295652 | Amount: $1964.72 | Location: NY | Fraud Probability: 80.0%
Transaction ID: 295 | Card: 4189178357295652 | Amount: $1748.11 | Location: NY | Fraud Probability: 80.0%
Transaction ID: 296 | Card: 4189178357295652 | Amount: $1649.25 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 297 | Card: 4189178357295652 | Amount: $1800.63 | Location: NY | Fraud Probability: 80.0%
Transaction ID: 293 | Card: 4189178357295652 | Amount: $1581.92 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 326 | Card: 4655692527721840 | Amount: $1545.24 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 327 | Card: 4655692527721840 | Amount: $1630.79 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 328 | Card: 4655692527721840 | Amount: $1558.40 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 329 | Card: 4655692527721840 | Amount: $1732.97 | Location: TX | Fraud Probability: 80.0%
Transaction ID: 325 | Card: 4655692527721840 | Amount: $1915.81 | Location: TX | Fraud Probability: 80.0%
Transaction ID: 465 | Card: 4653882843200367 | Amount: $1911.69 | Location: CA | Fraud Probability: 80.0%
Transaction ID: 466 | Card: 4653882843200367 | Amount: $1659.48 | Location: CA | Fraud Probability: 50.0%
Transaction ID: 467 | Card: 4653882843200367 | Amount: $1945.45 | Location: CA | Fraud Probability: 80.0%
Transaction ID: 468 | Card: 4653882843200367 | Amount: $1711.21 | Location: CA | Fraud Probability: 80.0%
Transaction ID: 464 | Card: 4653882843200367 | Amount: $691.03 | Location: CA | Fraud Probability: 50.0%
Transaction ID: 764 | Card: 4152943534533006 | Amount: $1696.90 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 765 | Card: 4152943534533006 | Amount: $1943.46 | Location: NY | Fraud Probability: 80.0%
Transaction ID: 766 | Card: 4152943534533006 | Amount: $1698.94 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 767 | Card: 4152943534533006 | Amount: $1515.65 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 763 | Card: 4152943534533006 | Amount: $843.99 | Location: NY | Fraud Probability: 50.0%
Transaction ID: 816 | Card: 4963719272613098 | Amount: $1530.33 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 817 | Card: 4963719272613098 | Amount: $1809.30 | Location: TX | Fraud Probability: 80.0%
Transaction ID: 818 | Card: 4963719272613098 | Amount: $1738.68 | Location: TX | Fraud Probability: 80.0%
Transaction ID: 819 | Card: 4963719272613098 | Amount: $1536.90 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 815 | Card: 4963719272613098 | Amount: $1359.02 | Location: TX | Fraud Probability: 50.0%
Transaction ID: 818 | Card: 4565008822262800 | Amount: $1783.73 | Location: NJ | Fraud Probability: 80.0%
Transaction ID: 819 | Card: 4565008822262800 | Amount: $1965.66 | Location: NJ | Fraud Probability: 80.0%
Transaction ID: 820 | Card: 4565008822262800 | Amount: $1979.22 | Location: NJ | Fraud Probability: 80.0%
Transaction ID: 821 | Card: 4565008822262800 | Amount: $1688.29 | Location: NJ | Fraud Probability: 50.0%
Transaction ID: 817 | Card: 4565008822262800 | Amount: $1931.33 | Location: NJ | Fraud Probability: 80.0%
