transaction_id,card_number,timestamp,merchant,location,amount,is_potential_fraud
1,4839996396811801,2026-02-05 16:04:10,Amazon,FL,141.91,0
2,4062531862355719,2026-02-09 07:11:10,Walmart,CA,1634.21,0
3,4927808324734732,2026-01-29 07:36:10,BestBuy,FL,859.34,0
4,4113915316129060,2026-01-15 11:27:10,Target,TX,1123.10,0
5,4290532988229038,2026-02-10 09:06:10,Amazon,CA,842.65,0
6,4316371395719759,2026-01-31 14:09:10,Amazon,FL,1084.46,0
7,4305636602211704,2026-02-12 15:12:10,BestBuy,FL,1168.92,0
8,4750686342383790,2026-02-10 13:36:10,BestBuy,FL,1643.31,0
9,4566509384145900,2026-01-23 18:59:10,Amazon,CA,973.13,0
10,4267840774504963,2026-01-23 10:50:10,Amazon,TX,35.86,0
11,4226181102262349,2026-01-18 09:37:10,BestBuy,NY,66.70,0
12,4826426828340138,2026-01-21 18:15:10,BestBuy,FL,1324.42,0
13,4787504940677120,2026-01-26 13:01:10,Target,NJ,937.84,0
14,4001030411873041,2026-01-28 04:21:10,Walmart,CA,581.12,0
15,4279707968482528,2026-02-10 12:03:10,BestBuy,TX,724.63,0
16,4954144169346995,2026-02-02 05:49:10,BestBuy,CA,1846.26,1
17,4621951142909327,2026-01-29 09:27:10,BestBuy,NJ,1356.49,0
18,4566161985247073,2026-02-09 08:34:10,Walmart,NY,370.05,0
19,4070692910394743,2026-01-19 01:58:10,Amazon,TX,635.29,0
20,4167000986477413,2026-01-20 18:34:10,Amazon,NY,1631.36,0
21,4021258053646933,2026-01-22 05:00:10,BestBuy,TX,1049.72,0
22,4138856899514136,2026-01-23 17:02:10,BestBuy,NY,1833.67,1
23,4520527811065863,2026-01-14 20:45:10,Amazon,TX,75.22,0
24,4834537809101747,2026-02-13 17:59:10,Target,NY,1739.21,1
25,4189889737628683,2026-02-08 18:27:10,GasStation,FL,647.24,0
26,4734260084509885,2026-01-20 04:38:10,GasStation,TX,147.89,0
27,4503261579656559,2026-01-25 01:18:10,Amazon,FL,304.53,0
28,4386177421248127,2026-02-08 02:32:10,GasStation,TX,1692.83,0
