transaction_id,card_number,timestamp,merchant,location,amount,is_potential_fraud
1,4972389463834915,2026-02-01 19:13:24,CVS,UT,298.84,0
2,4226996591019231,2026-02-10 13:27:24,HomeDepot,NJ,547.60,0
3,4957252417231438,2026-02-02 20:39:24,Exxon,GA,996.50,0
4,4458189493827089,2026-02-05 21:43:24,McDonalds,CO,306.96,0
5,4729593790382798,2026-01-31 14:23:24,Nike,MT,505.51,0
6,4749055879948260,2026-01-31 14:28:24,Macy's,OK,3.45,0
7,4749055879948260,2026-01-31 14:28:54,Macy's,OK,1.81,0
8,4749055879948260,2026-01-31 14:29:24,Macy's,OK,2900.84,1
9,4376857858071793,2026-02-06 12:14:24,AppleStore,GA,192.00,0
10,4582874839782361,2026-01-31 10:50:24,McDonalds,UT,32.14,0
11,4440701466480674,2026-02-09 13:45:24,Nike,WY,565.82,0
12,4695490739185204,2026-02-10 05:04:24,Costco,OR,476.80,0
13,4660393739032401,2026-02-10 20:15:24,AppleStore,WV,823.25,0
14,4551764155518539,2026-02-05 12:32:24,Macy's,MA,905.49,0
15,4521717879555484,2026-02-14 02:27:24,Amazon,PA,988.29,0
16,4365703713257626,2026-02-05 05:54:24,AppleStore,NC,821.87,0
17,4955574963834828,2026-02-16 00:14:24,Exxon,ID,708.00,0
18,4140857733328157,2026-02-19 12:24:24,Uber,WY,118.02,0
19,4083632780021031,2026-02-11 08:15:24,eBay,IA,234.16,0
20,4499749703499036,2026-02-27 01:54:24,Nike,IL,242.50,0
21,4935356560424983,2026-02-12 08:15:24,Walmart,FL,638.16,0
22,4088343750478143,2026-03-01 03:31:24,Exxon,DE,434.34,0
23,4088343750478143,2026-03-01 03:31:54,Exxon,LA,434.34,1
24,4344772639886405,2026-02-19 14:27:24,Costco,WV,740.26,0
25,4600928611262685,2026-02-26 02:10:24,HomeDepot,OR,173.13,0
26,4223672029856745,2026-02-13 16:27:24,Exxon,NM,960.62,0
27,4017641647547029,2026-02-02 16:39:24,BestBuy,TX,248.64,0
28,4631955314881883,2026-02-20 04:17:24,CVS,TX,811.14,0
29,4153077047555978,2026-02-27 19:23:24,Kroger,HI,84.23,0
30,4269742774070194,2026-02-22 06:19:24,Costco,VA,768.14,0
31,4670746802111189,2026-02-27 05:12:24,Shell,OK,693.24,0
32,4820226941458803,2026-02-10 18:03:24,McDonalds,HI,785.83,0
33,4415013825121444,2026-01-31 09:34:24,Walgreens,RI,73.75,0
34,4140857733328157,2026-02-09 05:47:24,HomeDepot,WY,115.24,0
35,4136394431478212,2026-02-21 12:47:24,Uber,IA,972.76,0
36,4088369121357256,2026-02-08 20:10:24,AppleStore,OK,4.80,0
37,4088369121357256,2026-02-08 20:10:54,AppleStore,OK,3.20,0
38,4088369121357256,2026-02-08 20:11:24,AppleStore,OK,3.26,0
39,4088369121357256,2026-02-08 20:11:54,AppleStore,OK,2830.67,1
40,4394906472816960,2026-02-28 18:02:24,Walgreens,KS,163.47,0
41,4888319891816273,2026-02-22 15:49:24,Shell,VT,264.59,0
42,4138090169698742,2026-02-19 11:25:24,Nike,NV,762.56,0
43,4244458702403666,2026-02-17 15:55:24,Costco,NC,682.99,0
44,4953255480544417,2026-02-03 15:19:24,Macy's,VT,60.11,0
45,4457318484311471,2026-02-14 12:36:24,Costco,KY,548.50,0
46,4167649878421419,2026-02-23 17:05:24,HomeDepot,NV,253.04,0
47,4304504487460403,2026-02-07 11:59:24,Costco,NY,392.52,0
48,4698655782502198,2026-02-23 15:46:24,Lowes,WA,401.42,0
