transaction_id,card_number,timestamp,merchant,category,location,device,amount
1,4899265550805188,2026-03-15 13:25:18,Netflix,subscription,UT,mobile,32.50
2,4995923370166515,2026-02-28 02:51:18,Delta,travel,PA,online,120.80
3,4961042310857973,2026-03-04 20:55:18,Delta,travel,AZ,mobile,139.11
4,4458820520617360,2026-03-12 16:31:18,Nike,clothing,NC,swipe,87.61
5,4851274202431549,2026-03-18 17:39:18,Shell,gas,CO,online,78.00
6,4037508420689607,2026-03-22 01:43:18,Target,retail,NH,mobile,466.92
7,4074808105026642,2026-02-23 12:22:18,Kroger,grocery,MD,chip,744.86
8,4715534569445235,2026-02-21 00:48:18,Amazon,retail,WV,online,53.21
9,4035510796352102,2026-03-01 20:45:18,CVS,pharmacy,IN,online,81.42
10,4565743243368774,2026-03-06 13:54:18,Apple,electronics,NM,online,144.65
11,4124385591902076,2026-03-02 23:27:18,Target,retail,MD,chip,69.30
12,4680158983935946,2026-03-16 06:29:18,Target,retail,NM,swipe,263.46
13,4396290073650077,2026-03-16 20:20:18,Target,retail,MA,online,70.88
14,4479940150292418,2026-03-06 01:32:18,Apple,electronics,AK,online,411.93
15,4968998760666890,2026-03-20 23:53:18,Kroger,grocery,DE,mobile,195.00
16,4341481832347523,2026-02-23 02:45:18,Nike,clothing,NJ,mobile,195.00
17,4586696120531264,2026-02-26 02:44:18,Exxon,gas,AK,chip,43.32
18,4647370125332841,2026-03-12 13:45:18,Uber,travel,OR,swipe,60.64
19,4723626352059137,2026-03-16 10:47:18,Shell,gas,LA,swipe,18.93
20,4722389898420333,2026-03-05 16:45:18,Nike,clothing,OK,chip,195.00
21,4458455063552538,2026-03-20 22:31:18,Netflix,subscription,AK,mobile,32.50
22,4633991532191477,2026-02-22 20:03:18,Amazon,retail,KS,online,26.26
23,4841262132496022,2026-03-22 14:00:18,Kroger,grocery,NV,swipe,49.60
24,4379588304532428,2026-03-22 02:06:18,McDonalds,food,AL,chip,32.74
25,4791415256902211,2026-03-20 21:32:18,Walmart,retail,NE,online,325.00
26,4755773104331394,2026-03-01 12:51:18,Starbucks,food,MA,online,23.51
27,4886316663951410,2026-03-11 09:59:18,Delta,travel,ND,swipe,139.91
28,4379706232188293,2026-02-28 01:57:18,Netflix,subscription,UT,online,32.50
29,4504248801138783,2026-03-01 17:48:18,Starbucks,food,ME,swipe,12.80
30,4243930803889394,2026-02-26 17:43:18,Starbucks,food,AZ,mobile,36.76
31,4846382449228538,2026-02-22 01:52:18,Target,retail,SC,chip,139.91
32,4497421789712982,2026-03-05 13:33:18,Walmart,retail,ID,online,38.32
33,4241933188963633,2026-03-21 04:21:18,McDonalds,food,NC,online,31.96
34,4435803369409541,2026-03-12 15:23:18,Amazon,retail,RI,online,237.77
35,4435803369409541,2026-03-12 15:23:28,Amazon,retail,RI,online,198.18
36,4435803369409541,2026-03-12 15:23:38,Amazon,retail,RI,online,279.61
37,4435803369409541,2026-03-12 15:23:48,Amazon,retail,RI,online,226.92
38,4435803369409541,2026-03-12 15:23:58,Amazon,retail,RI,online,257.85
39,4435803369409541,2026-03-12 15:24:08,Amazon,retail,RI,online,289.23
40,4435803369409541,2026-03-12 15:24:18,Amazon,retail,RI,online,276.91
41,4268650525932351,2026-02-27 02:18:18,BestBuy,electronics,MN,online,67.18
42,4161354247552386,2026-03-12 06:37:18,Exxon,gas,DE,swipe,10.85
43,4540044560827858,2026-03-08 23:03:18,Delta,travel,NH,online,32.53
44,4495500437391817,2026-02-21 12:02:18,Apple,electronics,WY,chip,74.00
45,4100183022229936,2026-03-16 16:41:18,Netflix,subscription,DE,chip,32.50
46,4335055121885066,2026-02-21 03:44:18,Starbucks,food,HI,online,123.38
47,4559562271843362,2026-02-24 07:31:18,Apple,electronics,RI,swipe,490.56
48,4346446729853927,2026-02-25 21:53:18,Uber,travel,ND,swipe,409.12
49,4957295009106470,2026-02-25 17:27:18,Kroger,grocery,TN,mobile,199.49
50,4153884776665586,2026-03-17 18:32:18,CVS,pharmacy,SD,online,59.42
51,4590181137547987,2026-03-11 20:47:18,BestBuy,electronics,WA,swipe,11.54
52,4396290073650077,2026-03-02 18:35:18,Delta,travel,MA,swipe,95.21
53,4096124219335733,2026-02-23 03:38:18,Nike,clothing,AZ,swipe,152.75
54,4664012383925319,2026-03-22 12:27:18,Delta,travel,IN,swipe,37.99
55,4593689419903394,2026-03-13 05:37:18,Shell,gas,AZ,chip,78.00
56,4467644901714748,2026-03-03 16:14:18,Shell,gas,AZ,mobile,78.00
57,4814257654344936,2026-03-12 16:06:18,Exxon,gas,RI,chip,28.81
58,4389408858015422,2026-03-02 15:06:18,Kroger,grocery,NJ,chip,36.21
59,4375628833045242,2026-03-22 08:27:18,Netflix,subscription,SC,online,32.50
60,4919174257176440,2026-03-12 13:52:18,Starbucks,food,WV,online,58.67
61,4323781563884325,2026-03-14 02:37:18,Shell,gas,TX,swipe,78.00
62,4913488166213715,2026-03-20 05:24:18,CVS,pharmacy,AZ,chip,130.00
63,4847717836536906,2026-02-23 11:27:18,Uber,travel,NH,online,95.48
64,4446680515091725,2026-02-24 08:25:18,Apple,electronics,GA,swipe,149.51
65,4261360589397118,2026-02-22 14:40:18,Target,retail,WV,mobile,428.01
66,4078635161413436,2026-02-22 14:00:18,Walmart,retail,WI,mobile,12.54
67,4752794290679547,2026-03-08 05:00:18,Delta,travel,NM,mobile,137.02
68,4402488391956314,2026-03-14 01:34:18,Netflix,subscription,DE,mobile,32.50
69,4095444289162008,2026-03-19 09:33:18,Amazon,retail,LA,chip,17.46
70,4986557325990026,2026-02-23 09:06:18,Walmart,retail,MD,mobile,40.72
71,4260815664679167,2026-02-22 07:59:18,Kroger,grocery,MN,swipe,195.00
72,4336678307140489,2026-03-10 22:41:18,Walmart,retail,AL,chip,24.41
73,4038308675866993,2026-02-26 01:53:18,Apple,electronics,HI,online,97.06
74,4567158872958116,2026-02-23 23:22:18,Netflix,subscription,NE,chip,32.50
75,4379588304532428,2026-03-15 12:20:18,BestBuy,electronics,AL,swipe,36.88
76,4815461650336205,2026-03-01 11:32:18,Amazon,retail,AL,chip,23.19
77,4935734791520460,2026-02-23 03:17:18,McDonalds,food,MA,chip,13.12
